Tytuł,Lokalizacja,Wynagrodzenie od (PLN),Wynagrodzenie do (PLN)
Senior Java Developer,Zdalnie,20 160,22 680
Senior Java Developer,Kraków,22 000,25 000
Senior Java Developer,Warszawa,27 720,32 760
Mid Java Developer,Warszawa,7 750,15 500
Senior Java Developer,Zdalnie,25 278,31 597
Java Developer,Warszawa,22 000,27 000
Java Developer,Warszawa,20 160,22 680
Senior Java Developer,Warszawa,30 000,35 000
Java Developer,Zdalnie,7 560,8 400
Java Developer,Warszawa,20 160,22 680
Java Developer,Zdalnie,25 000,27 000
Java Developer,Zdalnie,16 800,23 520
Senior Java Developer,Zdalnie,28 560,33 600
Java Developer,Kraków,15 000,21 000
Java Developer,Warszawa,20 160,
Senior Java Developer,Kraków,20 000,28 000
Java Developer,Kraków,20 000,23 000
Java Developer,Kraków,20 000,23 000
Java Developer,Kraków,20 000,23 000
Java Developer,Zdalnie,31 080,33 600
Java Developer,Warszawa,31 920,
Senior Java Developer,Zdalnie,28 560,31 920
Java Developer,Warszawa,15 120,17 640
Java Developer,Warszawa,18 480,21 000
Java Developer,Zdalnie,16 800,21 840
Senior Java Developer,Zdalnie,15 700,19 660
Java Developer,Warszawa,23 520,25 200
Senior Java Developer,Zdalnie,28 560,33 600
Java Developer,Warszawa,21 840,25 200
Java Developer,Kraków,28 560,31 080
Java Developer,Warszawa,27 720,30 240
Java Developer,Warszawa,23 520,26 880
Junior Java Developer,Zdalnie,7 000,10 000
Java Developer,Zdalnie,30 000,47 000
Senior Java Developer,Kraków,15 900,26 500
Senior Java Developer,Zdalnie,23 669,33 813
Java Developer,Zdalnie,26 000,30 000
Senior Java Developer,Katowice,16 000,22 000
Senior Java Developer,Katowice,21 000,27 720
Senior Java Developer,Zdalnie,20 288,40 576
Java Developer,Warszawa,25 200,
Senior Java Developer,Lodz,20 000,30 000
Java Developer,Warszawa,28 560,33 600
Java Developer,Warszawa,28 560,
Senior Java Developer,Kraków,15 000,18 000
Senior Java Developer,Warszawa,12 000,17 000
Java Developer,Warszawa,20 000,29 000
Senior Java Developer,Zdalnie,20 000,30 000
Java Developer,Kraków,11 500,19 000
Java Developer,Warszawa,23 520,26 040
Java Developer,Warszawa,24 360,
Java Developer,Zdalnie,22 680,25 200
Senior Java Developer,Zdalnie,30 000,38 000
Senior Java Developer,Bialystok,24 000,30 000
Java Developer,Warszawa,31 500,37 800
Senior Java Developer,Zdalnie,16 000,20 000
Java Developer,Wroclaw,26 040,31 920
Java Developer,Gdansk,27 000,40 000
Java Developer,Warszawa,20 000,28 000
Senior Java Developer,Gdansk,28 560,42 000
Java Developer,Lodz,16 800,20 160
Java Developer,Zdalnie,20 160,25 200
Java Developer,Wroclaw,16 800,22 700
Java Developer,Zdalnie,10 080,15 960
Java Developer,Warszawa,25 000,30 000
Java Developer,Zdalnie,8 000,12 000
Senior Java Developer,Zdalnie,28 560,31 920
Senior Java Developer,Warszawa,14 000,17 000
Senior Java Developer,Warszawa,15 000,22 000
Java Developer,Warszawa,20 000,30 000
Java Developer,Zdalnie,16 800,22 680
Senior Java Developer,Zdalnie,26 880,33 600
Java Developer,Kraków,21 300,27 300
Java Developer,Kraków,21 300,27 300
Java Developer,Zdalnie,20 000,27 000
Java Developer,Warszawa,30 000,37 000
Java Developer,Zdalnie,23 520,28 560
Java Developer,Zdalnie,19 000,21 000
Java Developer,Katowice,22 000,27 000
Senior Java Developer,Zdalnie,23 858,34 083
Senior Java Developer,Zdalnie,28 560,36 960
Senior Java Developer,Warszawa,25 200,27 720
Java Developer,Zdalnie,26 000,34 000
Mid Java Developer,Zdalnie,10 144,12 172
Mid Java Developer,Zdalnie,10 144,12 172
Junior Java Developer,Warszawa,12 000,14 000
Java Developer,Gdansk,20 160,23 520
Senior Java Developer,Zdalnie,28 000,39 000
Java Developer,Zdalnie,22 000,28 000
Senior Java Developer,Zdalnie,28 000,39 000
Java Developer,Kraków,22 000,28 000
Java Developer,Kraków,20 000,26 000
Senior Java Developer,Zdalnie,25 200,30 240
Java Developer,Zdalnie,16 230,22 316
Java Developer,Warszawa,30 000,36 000
Senior Java Developer,Warszawa,32 000,40 000
Java Developer,Zdalnie,16 800,21 840
Senior Java Developer,Zdalnie,19 320,23 520
Java Developer,Zdalnie,11 000,14 000
Java Developer,Katowice,9 000,16 000
